Ti,V,Fe,Co,Ni,Zr,Mo,Sn,W,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs,Cs_zscore
True,False,False,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,289.4,6.0,K,OH,-0.5,0.5,1.0,97.0,-0.8486319621682227
True,False,False,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,301.8,6.0,K,OH,-0.5,0.5,1.0,102.0,-0.8409237035280069
True,False,False,False,False,False,False,False,False,G-based,2D,irregular nanoparticles,supported,319.2,6.0,K,OH,-0.5,0.5,1.0,113.0,-0.8239655345195323
False,True,False,False,False,False,False,False,False,NoCP,NoCP,nanosheets,NoCP,5.5,6.0,K,OH,0.0,0.5,1.0,152.0,-0.7638411171258495
False,True,False,False,False,False,False,False,False,NoCP,NoCP,nanosheets,NoCP,5.5,6.0,K,OH,0.0,0.5,2.0,145.0,-0.7746326792221515
False,True,False,False,False,False,False,False,False,NoCP,NoCP,nanosheets,NoCP,5.5,6.0,K,OH,0.0,0.5,5.0,136.0,-0.7885075447745399
False,True,False,False,False,False,False,False,False,NoCP,NoCP,nanosheets,NoCP,5.5,6.0,K,OH,0.0,0.5,10.0,120.0,-0.8131739724232303
False,True,False,False,False,False,False,False,False,NoCP,NoCP,nanosheets,NoCP,5.5,6.0,K,OH,0.0,0.5,15.0,90.0,-0.8594235242645247
False,True,False,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,15.6,2.0,K,OH,-0.1,0.45,0.2,321.0,-0.5033019750865574
False,True,False,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,15.6,2.0,K,OH,-0.1,0.45,0.5,290.0,-0.5510931786558949
False,True,False,False,False,False,False,False,False,NoCP,NoCP,irregular nanoparticles,NoCP,15.6,2.0,K,OH,-0.1,0.45,1.0,270.0,-0.581926213216758
