Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,PW,CD,Cs
23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,K,OH,0.5,1.0,152.0
23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,K,OH,0.5,2.0,145.0
23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,K,OH,0.5,5.0,136.0
23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,K,OH,0.5,10.0,120.0
23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,K,OH,0.5,15.0,90.0
23,4,5,1.63,1.44,0,0,3,0,15.6,2.0,K,OH,0.55,0.2,320.7
23,4,5,1.63,1.44,0,0,3,0,15.6,2.0,K,OH,0.55,0.5,289.9
23,4,5,1.63,1.44,0,0,3,0,15.6,2.0,K,OH,0.55,1.0,269.7
23,4,5,1.63,1.44,0,0,3,0,15.6,2.0,K,OH,0.55,2.0,238.4
23,4,5,1.63,1.44,0,0,3,0,15.6,2.0,K,OH,0.55,4.0,198.7
23,4,5,1.63,1.44,0,0,3,0,15.6,2.0,K,OH,0.55,10.0,155.8
23,4,5,1.63,1.44,3,3,3,2,69.7,2.0,K,OH,0.55,0.2,836.7
23,4,5,1.63,1.44,3,3,3,2,69.7,2.0,K,OH,0.55,0.5,789.8
23,4,5,1.63,1.44,3,3,3,2,69.7,2.0,K,OH,0.55,1.0,702.2
23,4,5,1.63,1.44,3,3,3,2,69.7,2.0,K,OH,0.55,2.0,616.5
23,4,5,1.63,1.44,3,3,3,2,69.7,2.0,K,OH,0.55,4.0,468.9
23,4,5,1.63,1.44,3,3,3,2,69.7,2.0,K,OH,0.55,10.0,407.3
23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,K,OH,0.5,1.0,211.0
23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,K,OH,0.5,2.0,202.56
23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,K,OH,0.5,10.0,170.91
23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,K,OH,0.5,20.0,135.04
26,4,8,1.83,1.24,0,0,3,0,4.0,6.0,K,OH,0.55,0.5,163.0
26,4,8,1.83,1.24,0,0,3,0,4.0,6.0,K,OH,0.55,1.0,92.0
26,4,8,1.83,1.24,0,0,3,0,4.0,6.0,K,OH,0.55,2.0,82.0
26,4,8,1.83,1.24,0,0,3,0,4.0,6.0,K,OH,0.55,3.0,78.0
26,4,8,1.83,1.24,0,0,3,0,4.0,6.0,K,OH,0.55,5.0,75.0
26,4,8,1.83,1.24,0,0,3,0,4.0,6.0,K,OH,0.55,10.0,74.0
26,4,8,1.83,1.24,2,2,2,1,8.4,6.0,K,OH,0.55,0.5,312.0
26,4,8,1.83,1.24,2,2,2,1,8.4,6.0,K,OH,0.55,1.0,288.0
