Ti,V,Mn,Fe,Co,Ni,Zr,Mo,Sn,W,CP,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,Cation,Anion,P_low,P_high,CD,Cs
True,False,False,False,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,289.4,6.0,K,OH,-0.5,0.5,1.0,97.0
True,False,False,False,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,301.8,6.0,K,OH,-0.5,0.5,1.0,102.0
True,False,False,False,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,319.2,6.0,K,OH,-0.5,0.5,1.0,113.0
False,True,False,False,False,False,False,False,False,False,False,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,1.0,152.0
False,True,False,False,False,False,False,False,False,False,False,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,2.0,145.0
False,True,False,False,False,False,False,False,False,False,False,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,5.0,136.0
False,True,False,False,False,False,False,False,False,False,False,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,10.0,120.0
False,True,False,False,False,False,False,False,False,False,False,0,0,nanosheets,0,5.5,6.0,K,OH,0.0,0.5,15.0,90.0
False,True,False,False,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,15.6,2.0,K,OH,-0.1,0.45,0.2,321.0
False,True,False,False,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,15.6,2.0,K,OH,-0.1,0.45,0.5,290.0
False,True,False,False,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,15.6,2.0,K,OH,-0.1,0.45,1.0,270.0
False,True,False,False,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,15.6,2.0,K,OH,-0.1,0.45,2.0,238.0
False,True,False,False,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,15.6,2.0,K,OH,-0.1,0.45,4.0,199.0
False,True,False,False,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,15.6,2.0,K,OH,-0.1,0.45,10.0,156.0
False,True,False,False,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.7,2.0,K,OH,-0.1,0.45,0.2,837.0
False,True,False,False,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.7,2.0,K,OH,-0.1,0.45,0.5,790.0
False,True,False,False,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.7,2.0,K,OH,-0.1,0.45,1.0,702.0
False,True,False,False,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.7,2.0,K,OH,-0.1,0.45,2.0,616.0
False,True,False,False,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.7,2.0,K,OH,-0.1,0.45,4.0,469.0
False,True,False,False,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,69.7,2.0,K,OH,-0.1,0.45,10.0,407.0
False,True,False,False,False,False,False,False,False,False,True,G-based,3D special,irregular nanoparticles,supported,32.3,2.0,K,OH,0.0,0.5,1.0,211.0
False,True,False,False,False,False,False,False,False,False,True,G-based,3D special,irregular nanoparticles,supported,32.3,2.0,K,OH,0.0,0.5,2.0,203.0
False,True,False,False,False,False,False,False,False,False,True,G-based,3D special,irregular nanoparticles,supported,32.3,2.0,K,OH,0.0,0.5,10.0,171.0
False,True,False,False,False,False,False,False,False,False,True,G-based,3D special,irregular nanoparticles,supported,32.3,2.0,K,OH,0.0,0.5,20.0,135.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,4.0,6.0,K,OH,-0.85,-0.3,0.5,163.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,4.0,6.0,K,OH,-0.85,-0.3,1.0,92.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,4.0,6.0,K,OH,-0.85,-0.3,2.0,82.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,4.0,6.0,K,OH,-0.85,-0.3,3.0,78.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,4.0,6.0,K,OH,-0.85,-0.3,5.0,75.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,4.0,6.0,K,OH,-0.85,-0.3,10.0,74.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,flower-like clusters,supported,8.4,6.0,K,OH,-0.85,-0.3,0.5,312.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,flower-like clusters,supported,8.4,6.0,K,OH,-0.85,-0.3,1.0,288.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,flower-like clusters,supported,8.4,6.0,K,OH,-0.85,-0.3,2.0,268.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,flower-like clusters,supported,8.4,6.0,K,OH,-0.85,-0.3,3.0,216.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,flower-like clusters,supported,8.4,6.0,K,OH,-0.85,-0.3,5.0,200.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,flower-like clusters,supported,8.4,6.0,K,OH,-0.85,-0.3,10.0,172.0
False,False,False,True,False,False,False,True,False,False,True,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,2.0,1325.0
False,False,False,True,False,False,False,True,False,False,True,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,4.0,1138.0
False,False,False,True,False,False,False,True,False,False,True,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,6.0,1012.0
False,False,False,True,False,False,False,True,False,False,True,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,8.0,904.0
False,False,False,True,False,False,False,True,False,False,True,derived carbon-based,3D special,flower-like clusters,coated,94.7,6.0,K,OH,0.0,0.4,10.0,719.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,1.0,529.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,2.0,481.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,5.0,443.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,10.0,401.0
False,False,False,True,False,False,False,False,False,False,True,G-based,2D,irregular nanoparticles,supported,218.4,6.0,K,OH,-0.6,0.0,20.0,349.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,0.5,763.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,1.0,720.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,2.0,590.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,3.0,429.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,4.0,240.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,39.8,1.0,Na,SO3,-1.0,0.0,5.0,105.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,1.0,216.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,2.0,160.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,3.0,140.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,4.0,121.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,5.0,109.0
False,False,False,False,False,False,False,True,False,False,False,0,0,flower-like clusters,0,24.0,6.0,K,OH,0.0,1.0,7.0,86.0
False,False,False,True,False,False,False,True,False,False,False,0,0,hollow morph,0,43.0,6.0,K,OH,0.0,1.0,1.0,386.0
False,False,False,True,False,False,False,True,False,False,False,0,0,hollow morph,0,43.0,6.0,K,OH,0.0,1.0,2.0,274.0
False,False,False,True,False,False,False,True,False,False,False,0,0,hollow morph,0,43.0,6.0,K,OH,0.0,1.0,3.0,230.0
False,False,False,True,False,False,False,True,False,False,False,0,0,hollow morph,0,43.0,6.0,K,OH,0.0,1.0,4.0,179.0
False,False,False,True,False,False,False,True,False,False,False,0,0,hollow morph,0,43.0,6.0,K,OH,0.0,1.0,5.0,163.0
False,False,False,True,False,False,False,True,False,False,False,0,0,hollow morph,0,43.0,6.0,K,OH,0.0,1.0,7.0,154.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,1.0,471.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,2.0,398.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,3.0,369.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,5.0,356.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,10.0,335.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,15.0,321.0
False,False,False,True,False,False,False,False,False,False,False,0,0,irregular nanoparticles,0,23.8,2.0,K,OH,-1.1,0.0,20.0,307.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,2.0,228.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,4.0,170.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,6.0,140.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,8.0,119.0
False,False,False,True,False,False,False,False,False,False,True,derived carbon-based,3D porous,irregular nanoparticles,embedded,17.4,1.0,K,OH,-1.2,-0.2,10.0,91.0
